Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
Terrace Marshall Jr.,MarsTe00,WR,8,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,87,0,39,0,0,74,93%,
Stephen Sullivan,SullSt00,TE,8,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,33,0,33,0,0,9,11%,
Laviska Shenault Jr.,ShenLa00,WR,8,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,26,0,13,0,0,23,29%,
Tommy Tremble,TremTo00,TE,8,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,17,0,9,0,0,46,58%,
Ian Thomas,ThomIa00,TE,8,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,44,55%,
Shi Smith,SmitSh03,WR,8,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,38,48%,
Marcus Mariota,MariMa01,QB,8,ATL,20,28,253,3,2,2,14,47,105.2,6,43,0,30,0,0,0,0,0,0,0,67,100%,
Caleb Huntley,HuntCa02,RB,8,ATL,0,0,0,0,0,0,0,0,,16,91,0,30,0,0,0,0,0,1,0,24,36%,
Tyler Allgeier,AllgTy00,RB,8,ATL,0,0,0,0,0,0,0,0,,14,39,0,13,3,3,46,1,25,0,0,40,60%,
Kyle Pitts,PittKy00,TE,8,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,80,1,33,0,0,50,75%,
Damiere Byrd,ByrdDa00,WR,8,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,67,1,47,0,0,34,51%,
Drake London,LondDr00,WR,8,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,31,0,17,0,0,59,88%,
Parker Hesse,HessPa00,TE,8,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,29,43%,
Avery Williams,WillAv02,RB,8,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,8,0,0,5,7%,
Bryan Edwards,EdwaBr01,WR,8,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,3,4%,
Olamide Zaccheaus,ZaccOl01,WR,8,ATL,0,0,0,0,0,0,0,0,,1,-6,0,-6,1,1,10,0,10,0,0,54,81%,
Justin Fields,FielJu00,QB,8,CHI,17,23,151,2,0,4,25,36,120,8,60,1,15,0,0,0,0,0,0,0,76,96%,
Trevor Siemian,SiemTr00,QB,8,CHI,1,1,5,0,0,0,0,5,87.5,0,0,0,0,0,0,0,0,0,0,0,3,4%,
Khalil Herbert,HerbKh00,RB,8,CHI,0,0,0,0,0,0,0,0,,16,99,1,36,0,0,0,0,0,0,0,22,28%,
