Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
Michael Gallup,GallMi00,WR,8,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,49,0,17,0,0,49,84%,8.9
Peyton Hendershot,HendPe01,TE,8,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,11,0,0,21,36%,3.5
Jake Ferguson,FergJa00,TE,8,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,32,55%,7.1
Tua Tagovailoa,TagoTu00,QB,8,MIA,29,36,382,3,0,2,13,42,138.7,5,19,0,18,0,0,0,0,0,0,0,68,100%,32.18
Raheem Mostert,MostRa00,RB,8,MIA,0,0,0,0,0,0,0,0,,14,64,0,13,1,1,3,0,3,0,0,44,65%,7.7
Chase Edmonds,EdmoCh00,RB,8,MIA,0,0,0,0,0,0,0,0,,4,14,0,8,0,0,0,0,0,0,0,16,24%,1.4
Tyreek Hill,HillTy00,WR,8,MIA,0,0,0,0,0,0,0,0,,1,7,0,7,14,12,188,0,42,0,0,49,72%,34.5
Salvon Ahmed,AhmeSa01,RB,8,MIA,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,3,4%,0.2
Alec Ingold,IngoAl01,FB,8,MIA,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,5,0,5,0,0,27,40%,7.6
Jaylen Waddle,WaddJa00,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,106,2,29,0,0,52,76%,33.6
Mike Gesicki,GesiMi00,TE,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,1,20,0,0,31,46%,12.8
Trent Sherfield,SherTr00,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,14,0,0,40,59%,4.5
Braylon Sanders,SandBr00,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,13,1,1,14,21%,2.7
Cedrick Wilson Jr.,WilsCe01,WR,8,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,14,21%,0
Jared Goff,GoffJa00,QB,8,DET,27,37,321,1,0,1,10,58,108.1,1,3,0,3,1,1,5,0,5,0,0,60,100%,21.64
Jamaal Williams,WillJa06,RB,8,DET,0,0,0,0,0,0,0,0,,10,53,2,15,3,3,23,0,10,0,0,22,37%,22.6
Craig Reynolds,ReynCr00,RB,8,DET,0,0,0,0,0,0,0,0,,2,7,0,5,1,0,0,0,0,0,0,5,8%,0.7
