Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
DeVonta Smith,SmitDe07,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,23,0,14,0,0,42,74%,7.3
Jack Stoll,StolJa00,TE,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,30,53%,0
Quez Watkins,WatkQu00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,37,65%,0
Malik Willis,WillMa12,QB,8,TEN,6,10,55,0,1,3,15,16,35.4,5,12,0,6,0,0,0,0,0,0,0,58,100%,2.4
Derrick Henry ,HenrDe00,RB,8,TEN,0,0,0,0,0,0,0,0,,32,219,2,41,1,1,9,0,9,0,0,43,74%,38.8
Dontrell Hilliard,HillDo00,RB,8,TEN,0,0,0,0,0,0,0,0,,8,83,0,30,1,1,12,0,12,0,0,16,28%,10.5
Robert Woods,WoodRo02,WR,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,16,1,1,38,66%,3.6
Austin Hooper,HoopAu00,TE,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,27,47%,1.5
Chigoziem Okonkwo,OkonCh00,TE,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,24,41%,1.3
Cody Hollister,HollCo00,WR,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,32,55%,0
Davis Mills,MillDa02,QB,8,HOU,17,29,152,1,1,3,34,44,69.9,3,8,0,6,0,0,0,0,0,0,0,54,100%,9.88
Rex Burkhead,BurkRe00,RB,8,HOU,0,1,0,0,0,0,0,0,39.6,0,0,0,0,1,1,2,0,2,0,0,10,19%,1.2
Dameon Pierce,PierDa01,RB,8,HOU,0,0,0,0,0,0,0,0,,15,35,0,16,5,3,16,1,7,0,0,42,78%,14.1
Brandin Cooks,CookBr00,WR,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,73,0,44,0,0,44,81%,11.3
O.J. Howard,HowaO.00,TE,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,24,0,0,27,50%,4.4
Brevin Jordan,JordBr00,TE,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,19,0,16,0,0,30,56%,3.9
Troy Hairston,HairTr00,FB,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,5,0,0,13,24%,2.7
Phillip Dorsett,DorsPh00,WR,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,6,0,6,0,0,45,83%,1.6
Jordan Akins,AkinJo00,TE,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,14,26%,1.5
Dare Ogunbowale,OgunDa00,RB,8,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,3,6%,1
Taylor Heinicke,HeinTa00,QB,8,WAS,23,31,279,1,1,2,13,42,98.7,6,29,1,9,0,0,0,0,0,0,0,61,100%,23.06
Curtis Samuel,SamuCu00,WR,8,WAS,0,0,0,0,0,0,0,0,,4,29,0,11,4,3,50,0,20,0,0,45,74%,10.9
Brian Robinson Jr.,RobiBr01,RB,8,WAS,0,0,0,0,0,0,0,0,,8,20,0,7,0,0,0,0,0,0,0,15,25%,2
Antonio Gibson ,GibsAn00,RB,8,WAS,0,0,0,0,0,0,0,0,,7,19,0,5,7,7,58,1,18,0,0,22,36%,20.7
J.D. McKissic,McKiJ.00,RB,8,WAS,0,0,0,0,0,0,0,0,,2,6,0,4,5,3,14,0,7,0,0,22,36%,5
Cam Sims,SimsCa00,WR,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,21,0,21,0,0,49,80%,3.1
Armani Rogers,RogeAr00,TE,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0,22,36%,2.3
John Bates,BateJo00,TE,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,20,33%,1.6
Dax Milne,MilnDa00,WR,8,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,9,15%,1.4
Terry McLaurin,McLaTe00,WR,8,WAS,0,0,0,0,0,0,0,0,,1,-7,0,-7,8,6,113,0,42,0,0,58,95%,19.6
Sam Ehlinger,EhliSa00,QB,8,IND,17,23,201,0,0,2,12,47,100.1,6,15,0,7,0,0,0,0,0,1,1,58,100%,8.54
Jonathan Taylor,TaylJo02,RB,8,IND,0,0,0,0,0,0,0,0,,16,76,0,27,1,0,0,0,0,1,1,40,69%,6.6
Parris Campbell,CampPa00,WR,8,IND,0,0,0,0,0,0,0,0,,1,28,0,28,2,2,43,0,38,0,0,46,79%,9.1
Nyheim Hines,HineNy00,RB,8,IND,0,0,0,0,0,0,0,0,,5,20,1,9,2,2,29,0,22,0,0,21,36%,12.9
Alec Pierce,PierAl00,WR,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,65,0,47,0,0,33,57%,9.5
Michael Pittman Jr.,PittMi01,WR,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,53,0,16,0,0,55,95%,12.3
Kylen Granson,GranKy00,TE,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,11,0,15,0,0,32,55%,4.1
Mo Alie-Cox,AlieMo00,TE,8,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,29,50%,0
Deon Jackson,JackDe02,RB,8,IND,0,0,0,0,0,0,0,0,,1,-4,0,-4,0,0,0,0,0,0,0,2,3%,-0.4
Jimmy Garoppolo,GaroJi00,QB,8,SFO,21,25,235,2,0,3,12,56,132.5,1,3,0,3,0,0,0,0,0,0,0,53,100%,17.7
Christian McCaffrey,McCaCh01,RB,8,SFO,1,1,34,1,0,0,0,34,158.3,18,94,1,25,9,8,55,1,14,1,0,43,81%,40.26
Jeff Wilson,WilsJe01,RB,8,SFO,0,0,0,0,0,0,0,0,,4,14,0,12,2,2,21,0,12,0,0,19,36%,5.5
Brandon Aiyuk,AiyuBr00,WR,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,81,1,34,0,0,52,98%,20.1
Ross Dwelley,DwelRo00,TE,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,56,0,56,0,0,19,36%,6.6
George Kittle,KittGe00,TE,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,39,1,23,0,0,53,100%,12.9
Ray-Ray McCloud,McClRa00,WR,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0,30,57%,2.1
Tyler Kroft,KrofTy00,TE,8,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,18,34%,1.6
Matthew Stafford,StafMa00,QB,8,LAR,22,33,187,1,0,2,20,23,91.4,2,-1,1,1,0,0,0,0,0,0,0,58,100%,17.38
Ronnie Rivers,RiveRo01,RB,8,LAR,0,0,0,0,0,0,0,0,,8,21,0,5,4,4,15,0,7,0,0,21,36%,7.6
Darrell Henderson,HendDa00,RB,8,LAR,0,0,0,0,0,0,0,0,,4,16,0,6,2,2,14,0,7,0,0,24,41%,5
Cooper Kupp,KuppCo00,WR,8,LAR,0,0,0,0,0,0,0,0,,2,10,0,5,12,8,79,1,23,0,0,55,95%,22.9
Malcolm Brown,BrowMa03,RB,8,LAR,0,0,0,0,0,0,0,0,,5,10,0,4,0,0,0,0,0,0,0,13,22%,1
Allen Robinson,RobiAl02,WR,8,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,54,0,23,0,0,54,93%,10.4
Tyler Higbee,HigbTy00,TE,8,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,15,0,10,0,0,40,69%,3.5
Ben Skowronek,SkowBe00,WR,8,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,36,62%,2
Daniel Jones,JoneDa05,QB,8,NYG,17,31,176,0,0,5,29,27,71.4,6,20,0,6,0,0,0,0,0,1,0,65,100%,9.04
Saquon Barkley,BarkSa00,RB,8,NYG,0,0,0,0,0,0,0,0,,20,53,1,15,5,3,9,0,12,0,0,52,80%,15.2
Matt Breida,BreiMa00,RB,8,NYG,0,0,0,0,0,0,0,0,,2,5,0,3,2,1,10,0,10,0,0,14,22%,2.5
Darius Slayton,SlayDa01,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,66,0,21,0,0,48,74%,11.6
Tanner Hudson,HudsTa00,TE,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,58,0,27,0,0,47,72%,8.8
Wan'Dale Robinson,RobiWa01,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0,45,69%,3.5
Chris Myarick,MyarCh00,TE,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,30,46%,2
David Sills,SillDa01,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,10,15%,1.5
Marcus Johnson,JohnMa07,WR,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,3,0,3,0,0,56,86%,1.3
Lawrence Cager,CageLa01,TE,8,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,12,18%,0
Geno Smith,SmitGe00,QB,8,SEA,23,34,212,2,0,3,22,33,104,5,26,0,14,0,0,0,0,0,0,0,64,100%,19.08
Kenneth Walker III,WalkKe00,RB,8,SEA,0,0,0,0,0,0,0,0,,18,51,1,16,2,1,1,0,1,0,0,49,77%,12.2
Travis Homer,HomeTr00,RB,8,SEA,0,0,0,0,0,0,0,0,,2,10,0,7,1,1,21,0,21,0,0,14,22%,4.1
Tyler Lockett,LockTy00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,63,1,33,1,1,44,69%,16.3
D.K. Metcalf,MetcDK00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,55,1,15,0,0,40,63%,17.5
Marquise Goodwin,GoodMa00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,33,0,16,0,0,25,39%,7.3
Noah Fant,FantNo00,TE,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,16,0,0,46,72%,3.9
Will Dissly,DissWi00,TE,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,9,0,0,50,78%,3.2
Colby Parkinson,ParkCo02,TE,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,23,36%,1.5
D'Wayne Eskridge,EskrDW00,WR,8,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,19,30%,1.3
Aaron Rodgers,RodgAa00,QB,8,GNB,19,30,203,2,1,2,13,37,91.4,1,11,0,11,0,0,0,0,0,0,0,66,100%,16.22
Aaron Jones,JoneAa00,RB,8,GNB,0,0,0,0,0,0,0,0,,20,143,0,32,5,4,14,0,7,0,0,44,67%,22.7
AJ Dillon ,DillAJ00,RB,8,GNB,0,0,0,0,0,0,0,0,,10,54,0,27,1,1,9,0,9,0,0,28,42%,7.3
Romeo Doubs,DoubRo00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,62,1,26,0,0,54,82%,16.2
Samori Toure,TourSa00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,37,1,37,0,0,14,21%,10.7
Robert Tonyan,TonyRo00,TE,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,35,0,15,0,0,49,74%,8.5
Amari Rodgers,RodgAm00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,22,0,22,0,0,28,42%,3.2
Christian Watson,WatsCh00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0,6,9%,2.2
Josiah Deguara,DeguJo00,TE,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,30,45%,1.9
Sammy Watkins,WatkSa00,WR,8,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,52,79%,1.3
Josh Allen,AlleJo02,QB,8,BUF,13,25,218,2,2,2,2,53,75.1,6,49,0,20,0,0,0,0,0,0,0,59,100%,19.62
Devin Singletary,SingDe00,RB,8,BUF,0,0,0,0,0,0,0,0,,14,67,0,30,2,1,16,0,16,0,0,44,75%,9.3
James Cook,CookJa01,RB,8,BUF,0,0,0,0,0,0,0,0,,5,35,0,17,1,1,41,0,41,0,0,15,25%,8.6
Isaiah McKenzie,McKeIs00,WR,8,BUF,0,0,0,0,0,0,0,0,,2,2,1,7,1,1,8,0,8,0,0,31,53%,8
Stefon Diggs,DiggSt00,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,108,1,53,1,0,47,80%,25.8
Gabriel Davis,DaviGa01,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,35,0,29,0,0,52,88%,5.5
Dawson Knox,KnoxDa00,TE,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,1,9,0,0,52,88%,9
Khalil Shakir,ShakKh00,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,17,29%,0
Jake Kumerow,KumeJa00,WR,8,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,7,12%,0
Joe Burrow,BurrJo01,QB,8,CIN,25,35,232,2,1,5,39,41,96.4,1,2,0,2,0,0,0,0,0,1,1,53,100%,15.48
Joe Mixon,MixoJo00,RB,8,CIN,0,0,0,0,0,0,0,0,,8,27,0,6,9,7,32,0,14,0,0,38,72%,12.9
Samaje Perine,PeriSa00,RB,8,CIN,0,0,0,0,0,0,0,0,,1,7,0,7,3,3,10,0,6,0,0,13,25%,4.7
Tee Higgins,HiggTe00,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,49,1,41,0,0,52,98%,13.9
Hayden Hurst,HursHa00,TE,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,42,0,21,0,0,38,72%,8.2
Tyler Boyd,BoydTy00,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,1,14,0,0,51,96%,12.8
Trenton Irwin,IrwiTr00,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,0,18,0,0,23,43%,4.7
Chris Evans,EvanCh02,RB,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0,2,4%,3.6
Trent Taylor,TaylTr02,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,7,13%,1.5
Mitchell Wilcox,WilcMi01,TE,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,15,28%,1.3
Mike Thomas,ThomMi04,WR,8,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,24,45%,0
Jacoby Brissett,BrisJa00,QB,8,CLE,17,22,278,1,0,2,10,53,133.7,6,12,1,4,0,0,0,0,0,1,1,72,100%,21.32
Amari Cooper,CoopAm00,WR,8,CLE,0,1,0,0,1,0,0,0,0,0,0,0,0,7,5,131,1,53,0,0,57,79%,26.1
Nick Chubb,ChubNi00,RB,8,CLE,0,0,0,0,0,0,0,0,,23,101,2,21,1,1,3,0,3,0,0,37,51%,26.4
Kareem Hunt,HuntKa00,RB,8,CLE,0,0,0,0,0,0,0,0,,11,42,0,15,4,4,30,0,12,0,0,33,46%,11.2
D'Ernest Johnson,JohnDE04,RB,8,CLE,0,0,0,0,0,0,0,0,,4,17,0,7,0,0,0,0,0,0,0,8,11%,1.7
Donovan Peoples-Jones,PeopDo00,WR,8,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,81,0,37,0,0,69,96%,12.1
David Bell,BellDa02,WR,8,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,14,0,0,34,47%,4.7
Michael Woods II,WoodMi00,WR,8,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,12,17%,1.6
