Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Pred Targets,Pred Receptions,Pred Receiving Yards,Pred Snap%,Pred Tds
Josh Reynolds,4,8,7,81,84,1,Josh Reynolds,5,10,6,92,91,0,Josh Reynolds,7,2,1,8,80,0,8.0,5.0,64.0,91.0,0.0
Michael Pittman Jr.,5,8,5,59,99,0,Michael Pittman Jr.,6,16,13,134,99,0,Michael Pittman Jr.,7,9,6,58,100,0,10.0,7.0,89.0,95.0,1.0
Ashton Dulin,2,7,5,79,64,0,Ashton Dulin,3,1,1,7,25,0,Ashton Dulin,4,3,2,18,29,0,3.0,2.0,25.0,50.0,0.0
Parris Campbell,5,3,2,22,92,0,Parris Campbell,6,11,7,57,100,1,Parris Campbell,7,12,10,70,98,1,8.0,5.0,71.0,91.0,0.0
Alec Pierce,5,9,8,81,59,0,Alec Pierce,6,7,3,49,65,1,Alec Pierce,7,4,3,37,97,0,6.0,4.0,42.0,69.0,0.0
Brandin Cooks,4,7,7,57,81,1,Brandin Cooks,5,6,4,20,78,0,Brandin Cooks,7,5,4,46,89,0,7.0,5.0,54.0,82.0,0.0
Chris Moore,3,3,3,63,53,0,Chris Moore,4,2,0,0,56,0,Chris Moore,7,4,2,20,55,1,4.0,3.0,33.0,60.0,0.0
Nico Collins,4,5,3,82,77,0,Nico Collins,5,6,4,65,81,0,Nico Collins,7,3,3,33,46,0,6.0,4.0,53.0,79.0,0.0
Jakobi Meyers,5,8,7,111,80,1,Jakobi Meyers,6,4,4,60,81,0,Jakobi Meyers,7,2,2,34,100,1,7.0,4.0,49.0,85.0,0.0
Nelson Agholor,2,6,6,110,50,1,Nelson Agholor,3,3,2,41,76,0,Nelson Agholor,4,4,3,46,66,0,5.0,4.0,40.0,73.0,0.0
DeVante Parker,4,2,2,24,97,1,DeVante Parker,6,6,4,64,79,0,DeVante Parker,7,5,3,68,92,0,6.0,4.0,54.0,86.0,0.0
Jaylen Waddle,5,4,3,23,76,0,Jaylen Waddle,6,10,6,129,79,0,Jaylen Waddle,7,5,4,88,79,0,6.0,4.0,56.0,80.0,0.0
Cedrick Wilson Jr.,1,2,2,20,47,0,Cedrick Wilson Jr.,2,1,0,0,31,0,Cedrick Wilson Jr.,5,4,2,20,24,0,2.0,2.0,22.0,46.0,0.0
Tyreek Hill,5,7,7,47,64,0,Tyreek Hill,6,15,12,177,77,0,Tyreek Hill,7,13,7,72,89,0,8.0,6.0,68.0,78.0,1.0
Trent Sherfield,5,2,1,5,66,0,Trent Sherfield,6,4,1,6,67,0,Trent Sherfield,7,3,3,44,56,0,5.0,3.0,43.0,67.0,0.0
Rashod Bateman,3,4,2,59,62,0,Rashod Bateman,4,6,3,17,44,0,Rashod Bateman,7,5,4,42,56,0,4.0,3.0,42.0,55.0,0.0
Devin Duvernay,5,7,5,54,72,0,Devin Duvernay,6,5,1,14,68,0,Devin Duvernay,7,3,2,42,66,0,6.0,4.0,45.0,72.0,0.0
Demarcus Robinson,4,3,2,10,56,0,Demarcus Robinson,5,2,1,8,75,0,Demarcus Robinson,6,5,3,27,76,0,5.0,3.0,40.0,69.0,0.0
Corey Davis,4,6,5,74,74,1,Corey Davis,5,4,2,38,76,0,Corey Davis,6,4,2,52,85,0,6.0,4.0,45.0,79.0,0.0
